Data,Hora,Natureza,Idade da Vítima,Corporação,Momento da morte
14/11/2015,12:07:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),43,PM,Fora de serviço
29/06/2017,00:00:00,HOMICIDIO DOLOSO,43,PM,Fora de serviço
13/06/2020,02:30:00,HOMICIDIO DOLOSO,43,PM,Em serviço
18/04/2016,14:40:10,HOMICIDIO DOLOSO,44,PM,Fora de serviço
08/10/2015,20:19:59,HOMICIDIO DOLOSO,45,PC,Fora de serviço
04/08/2016,19:00:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),45,PM,Fora de serviço
05/03/2017,07:30:00,HOMICIDIO DOLOSO,45,PM,Fora de serviço
21/04/2020,19:37:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),45,PM,Fora de serviço
03/04/2024,05:30:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),45,PM,Fora de serviço
26/01/2016,22:49:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),46,PM,Fora de serviço
02/08/2016,12:45:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),46,AGEPEN,Fora de serviço
14/06/2017,13:00:00,HOMICIDIO DOLOSO,46,PM,Fora de serviço
23/08/2018,13:59:59,HOMICIDIO DOLOSO,46,PM,Fora de serviço
12/09/2018,12:00:00,HOMICIDIO DOLOSO,46,AGEPEN,Fora de serviço
06/06/2020,05:30:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),46,PM,Em serviço
14/05/2023,04:59:59,HOMICIDIO DOLOSO,46,PC,Em serviço
01/04/2017,21:29:59,ROUBO SEGUIDO DE MORTE (LATROCINIO),47,PM,Fora de serviço
01/03/2018,22:49:59,HOMICIDIO DOLOSO,47,PM,Fora de serviço
14/05/2023,04:59:59,HOMICIDIO DOLOSO,47,PC,Em serviço
21/03/2024,21:44:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),47,PM,Fora de serviço
02/03/2015,16:00:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),48,PM,Fora de serviço
28/08/2015,08:30:00,HOMICIDIO DOLOSO,48,PM,Fora de serviço
18/03/2017,10:30:00,HOMICIDIO DOLOSO,48,PM,Fora de serviço
19/04/2017,16:00:00,HOMICIDIO DOLOSO,48,PM,Fora de serviço
24/08/2017,14:50:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),48,PM,Em serviço
16/03/2020,19:59:59,HOMICIDIO DOLOSO,48,PC,Fora de serviço
10/06/2024,21:35:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),48,PM,Fora de serviço
21/09/2024,18:29:59,HOMICIDIO DOLOSO,48,PM,Fora de serviço
10/12/2017,10:06:00,HOMICIDIO DOLOSO,49,PM,Fora de serviço
14/07/2019,02:36:59,ROUBO SEGUIDO DE MORTE (LATROCINIO),49,PM,Fora de serviço
09/05/2024,13:00:00,HOMICIDIO DOLOSO,49,PM,Fora de serviço
12/06/2015,06:00:00,ROUBO SEGUIDO DE MORTE (LATROCINIO),50,PC,Fora de serviço
